Designator,Mid X,Mid Y,Rotation,Layer
D1,124.208572,-49.000000,180.000000,top
D2,124.208572,-51.540000,180.000000,top
D3,124.208572,-54.080000,180.000000,top
D4,124.208572,-56.620000,180.000000,top
D5,124.208572,-59.160000,180.000000,top
D6,124.208572,-61.700000,180.000000,top
D7,124.208572,-64.240000,180.000000,top
D8,124.208572,-66.780000,180.000000,top
D9,124.208572,-69.320000,180.000000,top
D10,124.208572,-71.860000,180.000000,top
D11,124.208572,-74.400000,180.000000,top
D12,124.208572,-76.940000,180.000000,top
J1,194.000000,-63.000000,90.000000,top
J2,186.000000,-49.000000,0.000000,top
J3,139.500000,-67.500000,90.000000,top
J4,127.470000,-49.000000,0.000000,top
J5,147.195000,-67.500000,90.000000,top
J6,154.890000,-67.500000,90.000000,top
J7,162.585000,-67.500000,90.000000,top
J8,134.000000,-49.000000,0.000000,top
J9,170.280000,-67.500000,90.000000,top
J10,177.975000,-67.500000,90.000000,top
J11,139.500000,-58.500000,90.000000,top
J12,147.195000,-58.500000,90.000000,top
J13,154.890000,-58.500000,90.000000,top
J14,162.585000,-58.500000,90.000000,top
J15,170.280000,-58.500000,90.000000,top
J16,177.975000,-58.500000,90.000000,top
J17,105.900000,-61.460000,0.000000,top
P1,99.000000,-63.000000,-90.000000,top
R1,119.162955,-49.000000,0.000000,top
R2,119.162955,-51.540000,0.000000,top
R3,119.162955,-54.080000,0.000000,top
R4,119.162955,-56.620000,0.000000,top
R5,119.162955,-59.160000,0.000000,top
R6,119.162955,-61.700000,0.000000,top
R7,119.162955,-64.240000,0.000000,top
R8,119.162955,-66.780000,0.000000,top
R9,119.162955,-69.320000,0.000000,top
R10,119.162955,-71.860000,0.000000,top
R11,119.162955,-74.400000,0.000000,top
R12,119.162955,-76.940000,0.000000,top
SW1,140.200000,-77.000000,90.000000,top
SW2,147.710000,-77.000000,90.000000,top
SW3,155.220000,-77.000000,90.000000,top
SW4,162.730000,-77.000000,90.000000,top
SW5,170.240000,-77.000000,90.000000,top
SW6,177.750000,-77.000000,90.000000,top
SW7,140.220000,-55.500000,90.000000,top
SW8,147.726000,-55.500000,90.000000,top
SW9,155.232000,-55.500000,90.000000,top
SW10,162.738000,-55.500000,90.000000,top
SW11,170.244000,-55.500000,90.000000,top
SW12,177.750000,-55.500000,90.000000,top
U1,114.887500,-50.000000,0.000000,top
U2,114.887500,-55.200000,0.000000,top
U3,114.887500,-60.400000,0.000000,top
U4,114.887500,-65.600000,0.000000,top
U5,114.887500,-70.800000,0.000000,top
U6,114.887500,-76.000000,0.000000,top
U7,109.750000,-50.000000,0.000000,top
U8,109.750000,-55.200000,0.000000,top
U9,109.750000,-60.400000,0.000000,top
U10,109.750000,-65.600000,0.000000,top
U11,109.750000,-70.800000,0.000000,top
U12,109.750000,-76.000000,0.000000,top
